sentence,abbreviation,expansion
family was noted near the PCP context along with referral.,PCP,Primary Care Physician
Clinicians discussed family and follow‑up when referring to PCP.,PCP,Primary Care Physician
The PCP indicated follow‑up and family during evaluation.,PCP,Primary Care Physician
The PCP indicated follow‑up and referral during evaluation.,PCP,Primary Care Physician
Assessment showed follow‑up; PCP signified presence of clinic.,PCP,Primary Care Physician
Clinicians discussed referral and follow‑up when referring to PCP.,PCP,Primary Care Physician
Clinicians discussed family and referral when referring to PCP.,PCP,Primary Care Physician
Clinicians discussed family and referral when referring to PCP.,PCP,Primary Care Physician
clinic was noted near the PCP context along with follow‑up.,PCP,Primary Care Physician
Assessment showed family; PCP signified presence of referral.,PCP,Primary Care Physician
follow‑up was noted near the PCP context along with family.,PCP,Primary Care Physician
Assessment showed follow‑up; PCP signified presence of referral.,PCP,Primary Care Physician
family was noted near the PCP context along with follow‑up.,PCP,Primary Care Physician
The PCP indicated family and follow‑up during evaluation.,PCP,Primary Care Physician
The PCP indicated family and clinic during evaluation.,PCP,Primary Care Physician
Clinicians discussed referral and follow‑up when referring to PCP.,PCP,Primary Care Physician
follow‑up was noted near the PCP context along with clinic.,PCP,Primary Care Physician
PCP related findings such as family plus follow‑up were documented.,PCP,Primary Care Physician
Clinicians discussed follow‑up and referral when referring to PCP.,PCP,Primary Care Physician
family was noted near the PCP context along with referral.,PCP,Primary Care Physician
Assessment showed referral; PCP signified presence of follow‑up.,PCP,Primary Care Physician
Assessment showed clinic; PCP signified presence of follow‑up.,PCP,Primary Care Physician
Clinicians discussed referral and follow‑up when referring to PCP.,PCP,Primary Care Physician
The PCP indicated clinic and family during evaluation.,PCP,Primary Care Physician
The PCP indicated clinic and referral during evaluation.,PCP,Primary Care Physician
The PCP indicated follow‑up and family during evaluation.,PCP,Primary Care Physician
Clinicians discussed follow‑up and family when referring to PCP.,PCP,Primary Care Physician
Clinicians discussed referral and clinic when referring to PCP.,PCP,Primary Care Physician
Clinicians discussed clinic and follow‑up when referring to PCP.,PCP,Primary Care Physician
Clinicians discussed family and referral when referring to PCP.,PCP,Primary Care Physician
Clinicians discussed clinic and follow‑up when referring to PCP.,PCP,Primary Care Physician
family was noted near the PCP context along with follow‑up.,PCP,Primary Care Physician
Assessment showed referral; PCP signified presence of follow‑up.,PCP,Primary Care Physician
PCP related findings such as referral plus follow‑up were documented.,PCP,Primary Care Physician
The PCP indicated clinic and referral during evaluation.,PCP,Primary Care Physician
Assessment showed clinic; PCP signified presence of referral.,PCP,Primary Care Physician
The PCP indicated family and referral during evaluation.,PCP,Primary Care Physician
PCP related findings such as clinic plus family were documented.,PCP,Primary Care Physician
family was noted near the PCP context along with referral.,PCP,Primary Care Physician
The PCP indicated clinic and follow‑up during evaluation.,PCP,Primary Care Physician
PCP related findings such as referral plus clinic were documented.,PCP,Primary Care Physician
Assessment showed referral; PCP signified presence of follow‑up.,PCP,Primary Care Physician
The PCP indicated referral and family during evaluation.,PCP,Primary Care Physician
Clinicians discussed follow‑up and clinic when referring to PCP.,PCP,Primary Care Physician
Clinicians discussed clinic and follow‑up when referring to PCP.,PCP,Primary Care Physician
Assessment showed referral; PCP signified presence of clinic.,PCP,Primary Care Physician
Clinicians discussed follow‑up and referral when referring to PCP.,PCP,Primary Care Physician
PCP related findings such as follow‑up plus family were documented.,PCP,Primary Care Physician
PCP related findings such as clinic plus referral were documented.,PCP,Primary Care Physician
Assessment showed family; PCP signified presence of follow‑up.,PCP,Primary Care Physician
Assessment showed referral; PCP signified presence of clinic.,PCP,Primary Care Physician
PCP related findings such as clinic plus follow‑up were documented.,PCP,Primary Care Physician
PCP related findings such as clinic plus referral were documented.,PCP,Primary Care Physician
follow‑up was noted near the PCP context along with family.,PCP,Primary Care Physician
PCP related findings such as family plus follow‑up were documented.,PCP,Primary Care Physician
follow‑up was noted near the PCP context along with clinic.,PCP,Primary Care Physician
