plant_id,name,country,city,coordinates,production_capacity_units_per_month,established_year,certifications,employee_count,operational_status,risk_factors,backup_power,automation_level
PLT_2AE6587A,Jones LLC Manufacturing Plant,Singapore,Daniellechester,"{'latitude': -14.031609, 'longitude': 83.074817}",14425,1991,"['GMP', 'FDA Registration', 'ISO 13485']",883,Active,"['Flood Zone', 'Earthquake Zone']",True,High
PLT_92234598,"Wright, Bruce and Gonzalez Manufacturing Plant",Indonesia,Castanedaville,"{'latitude': -40.306014, 'longitude': -53.572421}",28925,1994,"['ISO 14001', 'ISO 13485', 'GMP']",1936,Active,[],True,High
PLT_C0B8F34A,James LLC Manufacturing Plant,Israel,Victoriaport,"{'latitude': -13.916171, 'longitude': 166.769536}",42222,1993,"['GMP', 'ISO 14001']",272,Active,"['Hurricane Zone', 'Political Instability']",True,High
PLT_47FE4B68,Spence Ltd Manufacturing Plant,Japan,Hillshire,"{'latitude': -35.346514, 'longitude': 38.493673}",25726,2010,"['ISO 13485', 'ISO 14001', 'FDA Registration']",890,Active,[],False,High
PLT_1F4B3104,"Osborne, Beltran and Lozano Manufacturing Plant",Brazil,Wallport,"{'latitude': -51.47856, 'longitude': 139.94083}",2581,2008,"['FDA Registration', 'ISO 14001', 'GMP']",848,Expansion,"['Flood Zone', 'Political Instability']",True,Low
PLT_4CEDA239,Lawson LLC Manufacturing Plant,Mexico,Lake James,"{'latitude': -51.896092, 'longitude': -85.6133}",6220,1988,"['GMP', 'ISO 14001', 'FDA Registration']",967,Expansion,['Earthquake Zone'],True,Medium
PLT_74383392,Byrd-Le Manufacturing Plant,China,Lake Colton,"{'latitude': -22.811174, 'longitude': 4.069691}",27633,1994,"['GMP', 'FDA Registration', 'ISO 13485', 'ISO 14001']",1530,Maintenance,"['Flood Zone', 'Earthquake Zone']",True,Low
PLT_4D33CFEA,"Lucas, Parker and Alexander Manufacturing Plant",Belgium,Jessicaland,"{'latitude': -46.08161, 'longitude': 40.426846}",8212,2004,"['FDA Registration', 'ISO 13485', 'GMP', 'ISO 14001']",1536,Active,[],False,Medium
PLT_BFE084EE,Murphy-Perry Manufacturing Plant,United Kingdom,East Kristin,"{'latitude': 2.066741, 'longitude': 116.102474}",34980,1995,"['FDA Registration', 'GMP', 'ISO 14001']",1601,Active,[],False,Medium
PLT_491EB945,Schmidt-Mcintyre Manufacturing Plant,South Korea,West Robin,"{'latitude': 2.862505, 'longitude': -85.338126}",76582,1989,"['ISO 14001', 'GMP', 'FDA Registration']",213,Maintenance,"['Flood Zone', 'Political Instability']",True,Medium
PLT_ED75CC70,Coffey-Phillips Manufacturing Plant,India,Lindamouth,"{'latitude': 47.31221, 'longitude': 62.683355}",16117,1999,"['ISO 13485', 'ISO 14001', 'GMP', 'FDA Registration']",194,Maintenance,['Political Instability'],True,Low
PLT_272FC76A,Taylor and Sons Manufacturing Plant,Germany,Coffeyside,"{'latitude': 6.343775, 'longitude': 149.021161}",98080,2011,"['GMP', 'ISO 13485']",952,Expansion,['Hurricane Zone'],True,High
PLT_19E15F8D,Davis-Foster Manufacturing Plant,Switzerland,Amandamouth,"{'latitude': -45.671888, 'longitude': 62.397258}",7903,1996,"['ISO 13485', 'FDA Registration']",241,Maintenance,['Hurricane Zone'],False,Low
PLT_0051CB9D,Chambers-Chambers Manufacturing Plant,Canada,Carsonstad,"{'latitude': -5.190459, 'longitude': -47.189031}",39219,2021,"['FDA Registration', 'ISO 14001', 'GMP']",1311,Maintenance,[],True,Low
PLT_DC08734F,Leonard Group Manufacturing Plant,United States,New Nicoleside,"{'latitude': 51.887704, 'longitude': -171.392308}",71981,2007,"['ISO 13485', 'FDA Registration', 'ISO 14001', 'GMP']",1838,Expansion,"['Hurricane Zone', 'Earthquake Zone']",True,High
PLT_977AF6D5,Herman-Walker Manufacturing Plant,Singapore,Lake Madisonport,"{'latitude': -9.622099, 'longitude': 166.026622}",19661,2002,"['ISO 13485', 'ISO 14001']",1937,Expansion,['Hurricane Zone'],False,High
PLT_7D5BB7CF,"Ortiz, Taylor and Shah Manufacturing Plant",China,Wendyville,"{'latitude': 9.692475, 'longitude': 1.953995}",84521,2010,"['ISO 13485', 'FDA Registration']",1456,Active,[],False,Medium
PLT_6CD1F00F,Young PLC Manufacturing Plant,Italy,South Shawn,"{'latitude': 51.125034, 'longitude': -38.537038}",97384,2005,"['ISO 14001', 'FDA Registration', 'ISO 13485']",252,Active,[],True,Low
PLT_DDE54B67,"Avery, Horton and Fernandez Manufacturing Plant",India,South Diana,"{'latitude': -40.275002, 'longitude': -12.22016}",54282,1992,"['GMP', 'ISO 13485', 'FDA Registration', 'ISO 14001']",1048,Maintenance,[],True,Low
PLT_E1775586,Gilbert-Crosby Manufacturing Plant,Philippines,Antoniostad,"{'latitude': -23.494202, 'longitude': 73.693729}",80076,1987,"['GMP', 'ISO 13485']",286,Expansion,[],False,Medium
PLT_B0DAE716,Ramos and Sons Manufacturing Plant,United Kingdom,Corystad,"{'latitude': -54.125926, 'longitude': -72.417344}",23789,1986,"['ISO 14001', 'GMP', 'ISO 13485']",293,Maintenance,[],True,Low
PLT_678434EF,"Winters, Newman and Brown Manufacturing Plant",United States,Jamesville,"{'latitude': -52.599698, 'longitude': 101.145598}",30135,1993,"['ISO 14001', 'FDA Registration']",1505,Expansion,"['Earthquake Zone', 'Hurricane Zone']",False,Low
PLT_C7B12F79,Davis-Lewis Manufacturing Plant,United States,North Kristinbury,"{'latitude': 59.659371, 'longitude': -108.809879}",85670,2013,"['ISO 13485', 'FDA Registration']",350,Active,['Earthquake Zone'],True,High
PLT_D42A8ED3,Buchanan and Sons Manufacturing Plant,Belgium,Port Kathyborough,"{'latitude': 38.602248, 'longitude': -37.800472}",4864,2009,"['ISO 14001', 'ISO 13485', 'FDA Registration', 'GMP']",1960,Active,['Hurricane Zone'],False,Low
PLT_4504A4F6,"Robinson, Kane and Murphy Manufacturing Plant",Germany,Port Rachel,"{'latitude': 13.692789, 'longitude': 42.111779}",85840,2003,"['ISO 14001', 'GMP', 'FDA Registration']",224,Active,['Political Instability'],True,Medium
PLT_F1077350,Ramirez and Sons Manufacturing Plant,Malaysia,New John,"{'latitude': 17.118303, 'longitude': 106.991259}",33656,2019,"['ISO 14001', 'GMP']",835,Maintenance,"['Political Instability', 'Flood Zone']",False,Medium
PLT_FDCACAD3,Rodriguez Inc Manufacturing Plant,South Korea,North Michael,"{'latitude': -38.422095, 'longitude': -65.204076}",29707,1986,"['ISO 13485', 'FDA Registration', 'GMP']",1670,Expansion,[],True,Low
PLT_A338FFF2,Chapman Inc Manufacturing Plant,Singapore,West Brian,"{'latitude': 18.823731, 'longitude': -84.05028}",97607,1988,"['ISO 14001', 'FDA Registration']",1818,Active,[],True,High
PLT_09332053,"Fisher, Wilson and Brown Manufacturing Plant",Italy,Stricklandhaven,"{'latitude': 36.745227, 'longitude': 71.145563}",78537,1986,"['GMP', 'ISO 14001', 'ISO 13485', 'FDA Registration']",1813,Maintenance,"['Hurricane Zone', 'Earthquake Zone']",False,Low
PLT_FD050D71,"Rodriguez, Gordon and Dougherty Manufacturing Plant",China,Lake Kristahaven,"{'latitude': -53.259843, 'longitude': 36.598603}",3612,2018,"['ISO 13485', 'FDA Registration', 'ISO 14001']",1751,Active,['Flood Zone'],False,Low
PLT_A96864E1,Ellis-Maynard Manufacturing Plant,United States,South Melaniechester,"{'latitude': -42.274558, 'longitude': 73.690683}",19566,1992,"['GMP', 'ISO 13485', 'FDA Registration', 'ISO 14001']",1300,Active,['Hurricane Zone'],False,Low
PLT_6A54DFAB,"Rodriguez, Joseph and Wallace Manufacturing Plant",Thailand,West Charleneland,"{'latitude': 27.882243, 'longitude': -22.727382}",84789,2016,"['GMP', 'ISO 13485', 'FDA Registration', 'ISO 14001']",1463,Expansion,[],False,Medium
PLT_91CBB693,Hill Ltd Manufacturing Plant,Israel,Oscarhaven,"{'latitude': 22.619813, 'longitude': -134.154589}",96529,1985,"['ISO 14001', 'GMP', 'ISO 13485', 'FDA Registration']",1333,Maintenance,"['Flood Zone', 'Hurricane Zone']",True,Medium
PLT_42603128,Chavez-Jacobs Manufacturing Plant,Vietnam,Port Jacquelineside,"{'latitude': -20.259789, 'longitude': -151.98961}",46457,2005,"['ISO 13485', 'GMP']",1472,Expansion,"['Hurricane Zone', 'Flood Zone']",True,Medium
PLT_7DEF9B26,"Glenn, Jordan and Beasley Manufacturing Plant",Malaysia,Morganmouth,"{'latitude': -30.055096, 'longitude': -155.593879}",34640,1991,"['ISO 13485', 'ISO 14001', 'FDA Registration', 'GMP']",1600,Maintenance,[],False,Medium
PLT_9CB82785,Perry-Davis Manufacturing Plant,Ireland,Edwardsview,"{'latitude': -17.85226, 'longitude': -44.874875}",63847,2021,"['FDA Registration', 'ISO 13485', 'ISO 14001', 'GMP']",1736,Active,['Earthquake Zone'],False,Medium
