material_id,name,supplier_id,supplier_name,origin_country,unit_cost_usd,minimum_order_quantity,shelf_life_days,hazmat_classification,quality_grade,regulatory_approval
MAT_2C61E357,Medical Grade Silicone,SUP_552AE51E,Sims-Hill Inc,Canada,313.18,7099,,,Medical Grade,"['PMDA', 'Health Canada']"
MAT_C31580E4,Medical Grade Silicone,SUP_EF597D52,Perry-Soto Inc,Malaysia,159.71,6921,,,Industrial Grade,"['CE', 'Health Canada']"
MAT_62BE7AFD,Medical Grade Silicone,SUP_7A4A8970,"Snyder, Campos and Callahan Inc",Malaysia,237.02,3792,,,Pharmaceutical Grade,['PMDA']
MAT_B5D80630,Medical Grade Silicone,SUP_8DE837AD,Harrison LLC Pte Ltd,Netherlands,457.41,9314,,,Industrial Grade,"['CE', 'PMDA', 'FDA']"
MAT_D056E567,Medical Grade Silicone,SUP_DBEBC821,Anderson-Bailey Pte Ltd,Netherlands,127.87,5511,,,Industrial Grade,"['FDA', 'Health Canada']"
MAT_23F6976C,Titanium Alloy,SUP_3119B27A,Wilkerson-Day Ltd,Italy,337.0,9978,,,Medical Grade,"['CE', 'PMDA', 'FDA']"
MAT_F5549973,Titanium Alloy,SUP_3A4E8BAF,"Jackson, Miller and Robertson Corp",Taiwan,434.8,5555,,,Medical Grade,['CE']
MAT_54A83A41,Titanium Alloy,SUP_08F4A196,"Hernandez, Thompson and Boyd Pte Ltd",South Korea,481.06,2022,,,Industrial Grade,['CE']
MAT_41318529,Stainless Steel 316L,SUP_05530423,Chandler-Edwards GmbH,Canada,233.39,5986,,,Industrial Grade,"['PMDA', 'CE', 'FDA']"
MAT_36D913E1,Stainless Steel 316L,SUP_01C8C903,Fox Group Inc,Japan,401.51,7792,,,Industrial Grade,['Health Canada']
MAT_F36270DD,Stainless Steel 316L,SUP_E6790CF0,"Hurst, Freeman and Nelson Ltd",China,156.8,849,,,Medical Grade,"['CE', 'FDA', 'PMDA']"
MAT_D21EFEFD,Stainless Steel 316L,SUP_57286614,Robinson-Brock Inc,Philippines,276.88,9668,,,Industrial Grade,"['CE', 'FDA']"
MAT_D54AD182,Stainless Steel 316L,SUP_8235D37B,Marshall-Petersen Inc,Italy,165.27,6323,,,Medical Grade,"['Health Canada', 'CE']"
MAT_D5F932C4,Polycarbonate Resin,SUP_EA827812,Santiago-Hodge Pte Ltd,France,360.3,8100,,,Pharmaceutical Grade,['FDA']
MAT_646E78D0,Polycarbonate Resin,SUP_FD5D5060,Mcdaniel LLC GmbH,Israel,472.62,894,,,Industrial Grade,['CE']
MAT_DC1112C9,Polycarbonate Resin,SUP_975EACA8,Ellis PLC Pte Ltd,Israel,34.45,2574,,Class 3,Industrial Grade,['PMDA']
MAT_6749A1F4,Polycarbonate Resin,SUP_04DA4261,Jackson-Lawson Inc,India,329.81,357,,Class 3,Medical Grade,['Health Canada']
