ID,Age,Experience,Income,Pincode,Family,CCAvg,Education,Mortgage,Loanapproved,SecuritiesAccount,CDAccount,Online,CreditCard
1,23,3,18.5,304182,4,0.39,12th or less,9.89,1,0,0,0,1
2,49,27,unemployed,994521,4,0.05,12th or less,0.0,1,1,1,1,1
3,55yrs,37,unemployed,899723,0,0.05,Bachelors,0.0,0,0,0,1,1
4,59,37,61.8,608593,3,1.52,Bachelors,31.86,1,0,1,0,0
5,38yrs 1 months,17,54.06,644568,5,0.95,Bachelors,17.08,1,1,1,0,0
6,40,19,34.92,190874,2,0.76,Bachelors,10.06,1,0,1,1,1
7,63yrs,44,50.69,661525,5,0.54,Bachelors,43.35,1,1,0,0,0
8,43,25,37.24,124155,1,0.93,12th or less,19.26,1,0,0,1,0
9,54,34,9.47,866466,2,0.13,12th or less,5.8,0,1,0,0,1
10,53,33,75.38,899964,5,1.69,12th or less,26.27,1,1,1,1,0
11,30yrs,,n/a,888839,2,0.05,Post Graduate,0.0,0,n/a,1,0,1
12,53yrs,32,10.68,601709,4,0.35,12th or less,10.98,1,1,0,0,0
13,53,31,41.52,571077,0,0.55,12th or less,48.59,1,1,0,1,0
14,46yrs 2 months,,16.86,484748,5,0.55,12th or less,15.82,1,1,0,1,1
15,40yrs 7 months,19,13.72,224182,0,0.08,Bachelors,7.03,0,0,1,0,0
16,35,,45.08,158500,4,0.66,Bachelors,27.69,1,1,0,0,1
17,57,35,9.29,646425,4,0.07,Post Graduate,3.65,1,1,0,1,1
18,53yrs,35,23.45,978550,0,0.68,12th or less,16.21,1,0,0,1,0
19,37yrs 2 months,15,19.74,402421,0,0.59,12th or less,16.12,1,1,0,0,0
20,25yrs,4,28.4,841521,4,0.81,Post Graduate,13.27,1,1,1,0,1
21,24,3,unemployed,334787,2,0.05,Bachelors,0.0,1,1,0,0,1
22,23yrs 5 months,2,11.98,608510,1,0.27,Bachelors,15.53,1,0,0,0,1
23,41yrs 10 months,19,n/a,235847,5,0.05,12th or less,0.0,1,0,1,0,0
24,60yrs,39,23.86,143849,2,0.12,Post Graduate,20.39,0,1,1,1,1
25,23yrs,2,n/a,411341,4,0.05,Bachelors,0.0,1,1,1,0,1
26,41,n/a,8.6,381509,12,0.09,12th or less,3.03,0,0,1,1,1
27,28,9,31.06,851635,4,0.32,12th or less,13.49,1,0,0,0,1
28,62yrs,41,Rs 17 lacs,889953,2,0.05,Post Graduate,0.0,0,0,1,0,1
29,56yrs,37,15.82,415989,4,0.17,Bachelors,5.88,1,0,1,1,1
30,49yrs 11 months,30,40.16,945635,1,0.98,Post Graduate,15.82,0,1,1,1,1
31,59yrs,41,25.11,990198,4,0.63,Bachelors,29.75,1,1,1,0,1
32,54yrs 6 months,36,29.87,382712,4,0.33,Post Graduate,11.2,1,0,0,1,0
33,42,22,36.31,437608,1,0.72,Post Graduate,21.08,1,0,1,0,0
34,51yrs 11 months,33,10.84,823096,0,0.13,12th or less,11.58,1,1,0,0,0
35,48yrs,26,20.38,688227,5,0.22,Bachelors,26.4,0,0,1,1,0
36,55yrs,36,21.91,612796,0,0.52,Post Graduate,15.92,1,0,0,0,0
37,54yrs,34,13.38,563556,0,0.26,Bachelors,2.31,1,0,0,0,1
38,33yrs,14,25.33,778008,1,0.65,Bachelors,14.47,1,0,1,0,0
39,61yrs 8 months,41,33.1,631616,0,0.23,Bachelors,16.26,1,0,1,1,1
40,24yrs,3,14.04,243892,5,0.39,Post Graduate,12.77,1,0,1,1,1
41,63yrs,45,10.61,403600,1,0.34,Post Graduate,10.16,0,0,1,1,0
42,26yrs,n/a,8.09,932965,0,0.25,Post Graduate,6.98,0,0,1,0,0
43,21yrs 11 months,2,41.64,942569,0,0.57,12th or less,39.54,0,0,1,1,1
44,32,12,8.69,595686,5,0.16,12th or less,2.39,0,0,1,0,1
45,55yrs 8 months,36,18.53,233284,4,0.47,12th or less,12.52,1,1,0,1,1
46,31yrs,9,21.22,496876,1,0.25,Post Graduate,15.69,1,1,0,0,1
47,43,21,24.67,352574,1,0.4,Bachelors,17.13,1,1,0,0,1
48,34,15,48.22,203530,3,1.59,Bachelors,52.77,1,1,0,1,0
49,39,n/a,20.62,492595,0,0.23,Post Graduate,8.72,0,0,1,1,0
50,57,,16.16,581977,0,0.51,Post Graduate,5.99,0,0,1,1,1
51,36yrs,n/a,23.2,911592,0,0.44,Bachelors,26.3,1,1,0,0,1
52,64yrs,42,41.23,347767,1,0.6,12th or less,49.32,1,n/a,1,0,1
53,48,30,n/a,891772,1,0.05,12th or less,0.0,0,1,1,1,0
54,65,,52.97,665876,0,1.15,Post Graduate,12.47,1,1,1,1,1
55,51,31,Rs 52 lacs,283957,1,0.05,Post Graduate,0.0,0,0,0,1,1
56,27yrs,8,unemployed,875789,4,0.05,Post Graduate,0.0,0,1,0,1,1
57,47,29,13.54,387826,0,0.21,Bachelors,7.36,1,n/a,1,0,1
58,37,17,27.66,583537,2,0.61,12th or less,25.15,1,1,1,0,1
59,27,5,29.77,962587,3,0.7,Bachelors,27.89,1,0,1,0,0
60,35yrs,13,38.77,520370,0,0.22,Post Graduate,9.93,0,1,0,1,0
61,60yrs,41,15.12,880587,2,0.36,12th or less,11.7,0,0,0,1,1
62,32yrs 11 months,11,26.14,805408,5,0.29,Post Graduate,23.38,1,1,0,1,1
63,28,8,40.65,842477,2,0.7,Post Graduate,14.21,0,0,0,1,0
64,22yrs,0,20.97,445642,5,0.15,12th or less,6.32,1,1,1,0,1
65,64yrs 4 months,43,10.77,516357,2,0.34,Bachelors,6.44,0,1,0,0,0
66,58yrs,38,Rs 8 lacs,615376,5,0.05,12th or less,0.0,1,1,1,1,1
